CITY;CODE_INSEE;RESULT;POPULATION_TOTAL;RATE_SEX_WOMEN;RATE_SEX_MEN;RATE_SPC_FARMERS;RATE_SPC_BUSINESS;RATE_SPC_INACTIVES;RATE_SPC_EXECUTIVES;RATE_SPC_EMPLOYEES;RATE_SPC_WORKERS;RATE_SPC_INTERMEDIATES;RATE_SPC_RETIRED;RATE_FAMILY_CHILDREN;RATE_FAMILY_CHILDLESS;RATE_FAMILY_SINGLE_PARENT;RATE_ONE_WOMAN;RATE_ONE_MAN;RATE_FAMILY;Ménage sans famille à plusieurs personnes ;RATE_ONE_PERSON;RATE_AGE_80+;De 15 à 24 ans ;RATE_AGE_25_39;RATE_AGE_40_54;RATE_AGE_55_64;RATE_AGE_65_79;RATE_SINGLE;RATE_DIVORCED;RATE_LIVEIN_PARTNER;RATE_MARRIED;RATE_CIVIL_PARTNER;RATE_WIDOWED;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;pct_abstention;pct_blancs;pct_nuls
Beauregard;01030;DROITE;228.0;53.935252813570656;46.06474707142956;0.5380781914925816;5.726432249962477;6.894794071561103;13.796097590316819;15.949578408989353;11.187117502702447;18.566207476556652;27.341694508418563;26.165753070175434;35.0211048245614;4.3776381578947365;16.34196315789474;9.338264473684212;65.56449605263158;8.755276315789473;25.68022763157895;6.473138989010203;11.294610814466976;21.641121302926415;25.50746933512621;16.924828491069455;18.158831067400733;23.308738347537894;9.011913721468982;13.10700830623526;43.61030158154981;5.804882582810961;5.157155234554864;568.0;135.0;433.0;2.0;4.0;427.0;23.77;0.46;0.92
Belley;01034;DROITE;208.0;51.47187101574703;48.52812898425298;0.19152583313552507;2.9369357705419565;15.260493852943135;4.724304007836133;15.391477756714531;16.98195763594108;10.982052220012159;33.531252935685124;63.414634134615376;24.39024375;0.0;2.4390245192307694;4.878048557692308;87.80487788461538;4.878048557692308;7.3170730769230765;11.445549670585196;13.099082805839037;18.615165999224907;21.28923911639323;15.50187314300478;20.049089264952848;26.68905826120656;8.797313008655212;9.740343624854669;40.45988890324247;4.57305257718641;9.740343624854669;5938.0;1597.0;4341.0;72.0;28.0;4241.0;26.89;1.66;0.65
Bourg-en-Bresse;01053;GAUCHE;240.0;52.88415008670753;47.115849910452724;0.030002283638459477;2.094780427497636;20.70623635980761;7.183481943552394;14.570836308290167;14.061452807532604;13.46987956689597;27.883330302785158;46.92606083333333;33.98870375;0.0;8.478084583333333;6.358563333333334;80.91476416666666;4.248587916666667;14.8366475;9.60073170251402;17.229668007293792;20.92310882695398;21.367698266218035;13.20828230118688;17.6705108958333;34.95287900947281;9.99268663838667;9.363674016751993;35.143392667622386;3.20406488652056;7.343302784083335;23158.0;6842.0;16316.0;252.0;72.0;15992.0;29.54;1.54;0.44
Brens;01061;DROITE;2367.0;52.08570902159034;47.91429097840967;0.34294691127035;5.482303798073505;12.063919263051186;9.281433097475434;14.541792495231972;9.941832750111432;18.436640287298047;29.909131363222375;51.37420718208703;26.21564482467258;11.20507397549641;6.131078242501056;5.073995775242923;88.7949260245036;0.0;11.20507397549641;6.071502180928568;12.401572242231454;17.037134607060153;28.275883657367025;17.082310145804954;19.131597166607843;20.95879194343032;5.193951536185463;11.35709494063717;48.57830806960737;8.321564136681703;5.59028933895194;951.0;174.0;777.0;13.0;5.0;759.0;18.3;1.67;0.64
Cerdon;01068;DROITE;884.996576;51.92515236520664;48.07484763479336;0.7031755481880141;4.553251646270342;11.116052325236595;5.226454504022763;13.60178899363409;12.568718564944781;15.042418865596154;37.18813941110675;35.22643097773974;32.95482987269772;8.522778510727255;16.477630643398104;6.818329882442392;76.70403936116472;0.0;23.295960638835282;11.600520418749449;11.887877309674973;15.778539599254604;22.749652249409607;15.179982082756915;22.803428410158734;24.70305240146939;6.138980983882375;11.841330209952785;41.62512863503521;5.122703643342522;10.568804196322008;560.0;129.0;431.0;7.0;3.0;421.0;23.04;1.62;0.7
Condamine;01112;DROITE;246.0;49.72819225348926;50.27180774651073;1.8216362915799116;3.4095213454596722;10.187829008771317;7.269287698484728;12.656526507681019;24.21224029752558;22.211711866308747;18.23124698418904;46.66014105691057;40.94724390243903;4.01440325203252;6.2836589430894305;2.094552845528455;91.62178780487805;0.0;8.378212195121952;3.31156241905579;13.416403192495194;25.992574724725053;28.495137198763803;14.79645051079437;13.987871954165792;18.09489572366203;5.414979062413708;13.299923654461187;50.584978283044194;8.371483086453038;4.233740016911051;283.0;42.0;241.0;4.0;0.0;237.0;14.84;1.66;0.0
Crans;01129;DROITE;86.0;49.42193164792331;50.5780683520767;0.0;5.070906182284349;10.079543315219857;8.90188167405683;15.52398842157053;12.145020357068201;11.90510324389344;36.37355749739328;47.36842093023256;21.05263139534884;15.789473255813952;0.0;15.789473255813952;84.21052674418604;0.0;15.789473255813952;8.929914565731565;8.299554898929342;28.11799745765336;17.26670886075339;18.471722873129043;18.914101343803306;13.710217827441376;3.22164626385095;11.016599777593274;56.99475126621226;8.775652539038997;6.28113264722764;221.0;22.0;199.0;4.0;0.0;195.0;9.95;2.01;0.0
Cuzieu;01141;DROITE;1487.001163;51.8613839798708;48.138616148554654;1.0183865800228515;3.2794431915691327;12.032045459100765;7.021873475224524;14.721697529641023;17.207399174583596;20.71293244287722;24.006222146980882;59.21775126412595;29.391371901704428;3.9483642286835257;4.651570336397914;2.7909422018387486;92.5574873945139;0.0;7.442512605486106;4.013387096842467;12.844426365983974;18.521246290788245;27.22922996306685;18.289463214800396;19.102247132654394;19.401288041992462;4.299501331142882;8.22070427091058;53.88025889112487;9.49110095109158;4.7071465137376345;388.0;97.0;291.0;5.0;0.0;286.0;25.0;1.72;0.0
Montagnieu;01255;DROITE;1171.0;52.147363377636665;47.85263669090663;0.7140500257032232;5.435168400930376;13.057250451420172;8.285449241505505;15.926110638693558;15.668405037832422;18.667148813942347;22.246417321429107;61.49989026473101;28.489246968403076;2.921928522630231;5.119785824081982;1.9691484201537146;92.9110657557643;0.0;7.088934244235697;4.952558089773851;12.880662196016424;23.208111483173273;29.827890405372727;13.989697729193503;15.141080026926396;20.525742827056114;3.6769931236561764;14.430249927882183;47.51909837711454;9.859523665626044;3.9883920786649423;447.0;97.0;350.0;12.0;0.0;338.0;21.7;3.43;0.0
Oyonnax;01283;DROITE;48.0;50.44100968491766;49.55899031508235;0.047123542940098725;3.231180543334846;21.337075745853472;4.574112704947183;9.402142958193833;25.645176979536917;9.956883315564186;25.80630420962947;0.0;66.66666666666666;0.0;16.666666666666664;16.666666666666664;66.66666666666666;0.0;33.33333333333333;6.8536974863845845;14.505093343649797;21.334607377407778;25.571315844785623;14.804481645854123;16.930804301918094;26.543203258396936;8.345985883401514;8.408724704891494;47.92740531256779;1.8316489511993075;6.943031883885675;11648.0;4227.0;7421.0;116.0;57.0;7248.0;36.29;1.56;0.77
